"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"KRT14"	0	3.43309169413067	0.961	0.3	0	"basal"	"KRT14"
"MT2A"	0	3.06245212116058	0.975	0.873	0	"basal"	"MT2A"
"MT1X"	0	2.81961497166972	0.868	0.538	0	"basal"	"MT1X"
"TAGLN"	0	2.65457210912277	0.847	0.148	0	"basal"	"TAGLN"
"TPM2"	0	2.23625124774578	0.916	0.104	0	"basal"	"TPM2"
"ACTA2"	0	2.22121592301469	0.66	0.069	0	"basal"	"ACTA2"
"KRT17"	0	2.21683888137406	0.928	0.497	0	"basal"	"KRT17"
"ACTG2"	0	2.09975976516425	0.658	0.028	0	"basal"	"ACTG2"
"KRT5"	0	2.07718064336689	0.862	0.171	0	"basal"	"KRT5"
"MYLK"	0	1.85746801017786	0.637	0.028	0	"basal"	"MYLK"
"MT1E"	0	1.82260493559813	0.673	0.424	0	"basal"	"MT1E"
"DST"	0	1.71814758483378	0.84	0.455	0	"basal"	"DST"
"NNMT"	0	1.65778517157007	0.856	0.387	0	"basal"	"NNMT"
"SAA1"	0	1.64656302598787	0.926	0.61	0	"basal"	"SAA1"
"CAV1"	0	1.64291848717026	0.712	0.141	0	"basal"	"CAV1"
"CALD1"	0	1.639774402813	0.901	0.374	0	"basal"	"CALD1"
"CYR61"	0	1.5796888631668	0.515	0.45	0	"basal"	"CYR61"
"FBXO32"	0	1.32547005321883	0.708	0.328	0	"basal"	"FBXO32"
"ITGB1"	0	1.25857314166229	0.9	0.639	0	"basal"	"ITGB1"
"FBXO2"	0	1.2490792724869	0.704	0.327	0	"basal"	"FBXO2"
"S100A2"	0	1.2484555672934	0.419	0.181	0	"basal"	"S100A2"
"TUBB2B"	0	1.21813104293731	0.628	0.085	0	"basal"	"TUBB2B"
"PRNP"	0	1.17785447576502	0.755	0.33	0	"basal"	"PRNP"
"DKK3"	0	1.13243166933648	0.584	0.041	0	"basal"	"DKK3"
"APOE"	0	1.06173706290753	0.454	0.121	0	"basal"	"APOE"
"MYL9"	0	1.04351871670402	0.641	0.249	0	"basal"	"MYL9"
"GYPC"	0	1.02599311816079	0.587	0.102	0	"basal"	"GYPC"
"SFN"	0	0.981953542027274	0.783	0.439	0	"basal"	"SFN"
"KRT6B"	0	0.970198655942775	0.647	0.282	0	"basal"	"KRT6B"
"F3"	0	0.949213244879924	0.532	0.179	0	"basal"	"F3"
"CNN1"	0	0.945221770309909	0.397	0.03	0	"basal"	"CNN1"
"THBS1"	0	0.934301835943358	0.317	0.1	0	"basal"	"THBS1"
"VIM"	0	0.884845331861564	0.695	0.359	0	"basal"	"VIM"
"TUBB6"	0	0.881920929979972	0.569	0.151	0	"basal"	"TUBB6"
"ZBTB16"	0	0.869290898000299	0.528	0.215	0	"basal"	"ZBTB16"
"ADAMTS1"	0	0.861269470839137	0.241	0.023	0	"basal"	"ADAMTS1"
"AKR1B1"	0	0.861261983252569	0.512	0.168	0	"basal"	"AKR1B1"
"PRMT1"	0	0.859617318232762	0.792	0.589	0	"basal"	"PRMT1"
"FAM126A"	0	0.85816236577909	0.406	0.022	0	"basal"	"FAM126A"
"TSHZ2"	0	0.838167039982116	0.54	0.175	0	"basal"	"TSHZ2"
"CAV2"	0	0.828421704015052	0.561	0.239	0	"basal"	"CAV2"
"FHL2"	0	0.824374566938067	0.844	0.493	0	"basal"	"FHL2"
"LDHA"	0	0.813911045937066	0.965	0.888	0	"basal"	"LDHA"
"CCL2"	0	0.813495062640173	0.525	0.275	0	"basal"	"CCL2"
"CRYAB"	0	0.799975617559509	0.739	0.44	0	"basal"	"CRYAB"
"PPP1R3C"	0	0.786656653311968	0.171	0.026	0	"basal"	"PPP1R3C"
"MSRB3"	0	0.785875668901966	0.433	0.016	0	"basal"	"MSRB3"
"SERPINB5"	0	0.783091090954124	0.419	0.034	0	"basal"	"SERPINB5"
"MT1G"	0	0.776634971160045	0.367	0.118	0	"basal"	"MT1G"
"GADD45A"	0	0.772121103587151	0.497	0.383	0	"basal"	"GADD45A"
"SRM"	0	0.766283812280985	0.43	0.231	0	"basal"	"SRM"
"LAMA3"	0	0.75233504283039	0.335	0.043	0	"basal"	"LAMA3"
"MT1M"	0	0.743938429138178	0.313	0.062	0	"basal"	"MT1M"
"CAVIN1"	0	0.731243581598201	0.587	0.284	0	"basal"	"CAVIN1"
"ADM"	0	0.728224190185498	0.577	0.344	0	"basal"	"ADM"
"TGFB1I1"	0	0.723360053575745	0.424	0.081	0	"basal"	"TGFB1I1"
"SMIM3"	0	0.722197343333871	0.422	0.094	0	"basal"	"SMIM3"
"MYC"	0	0.717204679752377	0.571	0.423	0	"basal"	"MYC"
"CD200"	0	0.696545152512839	0.309	0.006	0	"basal"	"CD200"
"TCEAL9"	0	0.694790647499772	0.639	0.419	0	"basal"	"TCEAL9"
"PDLIM4"	0	0.693018917292882	0.765	0.53	0	"basal"	"PDLIM4"
"NME1"	0	0.690058700881527	0.701	0.56	0	"basal"	"NME1"
"GAS6"	0	0.686722057871522	0.321	0.091	0	"basal"	"GAS6"
"DRAP1"	0	0.682608332205322	0.803	0.676	0	"basal"	"DRAP1"
"ACTN4"	0	0.681951226586773	0.669	0.594	0	"basal"	"ACTN4"
"ITGA2"	0	0.677285057041525	0.481	0.295	0	"basal"	"ITGA2"
"TXN"	0	0.668683383299924	0.937	0.937	0	"basal"	"TXN"
"NUPR1"	0	0.666041065635772	0.901	0.839	0	"basal"	"NUPR1"
"SSR3"	0	0.663248958641443	0.771	0.658	0	"basal"	"SSR3"
"ARL4A"	0	0.652984563871857	0.481	0.244	0	"basal"	"ARL4A"
"IFRD1"	0	0.651806728976998	0.595	0.486	0	"basal"	"IFRD1"
"COL17A1"	0	0.650534216510289	0.328	0.004	0	"basal"	"COL17A1"
"MRPS6"	0	0.649002936030862	0.605	0.475	0	"basal"	"MRPS6"
"ARID5B"	0	0.644593969914188	0.648	0.572	0	"basal"	"ARID5B"
"CTNNAL1"	0	0.637091889285081	0.46	0.193	0	"basal"	"CTNNAL1"
"CSRP2"	0	0.63593055625171	0.399	0.093	0	"basal"	"CSRP2"
"MTHFD2"	0	0.634303595361304	0.677	0.464	0	"basal"	"MTHFD2"
"CLMP"	0	0.632772591624458	0.335	0.017	0	"basal"	"CLMP"
"EFEMP1"	0	0.627565546294826	0.369	0.068	0	"basal"	"EFEMP1"
"ACTN1"	0	0.624545231622426	0.762	0.591	0	"basal"	"ACTN1"
"RAN"	0	0.618539342739058	0.888	0.855	0	"basal"	"RAN"
"ODC1"	0	0.616789907863899	0.304	0.128	0	"basal"	"ODC1"
"GEM"	0	0.615584142383802	0.256	0.039	0	"basal"	"GEM"
"FAM96B"	0	0.613668272292885	0.701	0.587	0	"basal"	"FAM96B"
"NCL"	0	0.607256303676796	0.77	0.677	0	"basal"	"NCL"
"GSTO1"	0	0.606951666698044	0.623	0.509	0	"basal"	"GSTO1"
"AEBP1"	0	0.606897350392281	0.365	0.028	0	"basal"	"AEBP1"
"YBX3"	0	0.604818011178609	0.634	0.628	0	"basal"	"YBX3"
"TES"	0	0.592962103340153	0.495	0.388	0	"basal"	"TES"
"SNHG15"	0	0.589378727028042	0.505	0.288	0	"basal"	"SNHG15"
"EIF5A"	0	0.587321492533341	0.819	0.747	0	"basal"	"EIF5A"
"NRP2"	0	0.587015895248539	0.262	0.013	0	"basal"	"NRP2"
"SPARCL1"	0	0.584657200493061	0.26	0.06	0	"basal"	"SPARCL1"
"STK17A"	0	0.582685959406401	0.384	0.205	0	"basal"	"STK17A"
"IFRD2"	0	0.578765178209696	0.567	0.379	0	"basal"	"IFRD2"
"EBNA1BP2"	0	0.572290638803865	0.553	0.427	0	"basal"	"EBNA1BP2"
"GAPDH"	0	0.569602699411448	0.979	0.969	0	"basal"	"GAPDH"
"DDX21"	0	0.565175833844909	0.736	0.633	0	"basal"	"DDX21"
"AXL"	0	0.564983084655613	0.309	0.057	0	"basal"	"AXL"
"TRMT112"	0	0.564734946014222	0.803	0.771	0	"basal"	"TRMT112"
"SPP1"	0	0.563037425438113	0.144	0.037	0	"basal"	"SPP1"
"PLS3"	0	0.560087662434664	0.326	0.088	0	"basal"	"PLS3"
"TUBA1B"	0	0.556267072128488	0.887	0.834	0	"basal"	"TUBA1B"
"CISD1"	0	0.553762015469762	0.567	0.403	0	"basal"	"CISD1"
"HSPD1"	0	0.551836994933912	0.805	0.736	0	"basal"	"HSPD1"
"FBL"	0	0.55159417423372	0.74	0.622	0	"basal"	"FBL"
"SLC39A14"	0	0.551576183141653	0.407	0.154	0	"basal"	"SLC39A14"
"SLMAP"	0	0.547964243956706	0.407	0.336	0	"basal"	"SLMAP"
"C1R"	0	0.546248630586787	0.368	0.129	0	"basal"	"C1R"
"NFIB"	0	0.545302927411632	0.689	0.488	0	"basal"	"NFIB"
"YBX1"	0	0.544234539459036	0.87	0.877	0	"basal"	"YBX1"
"PMP22"	0	0.542416590996454	0.428	0.182	0	"basal"	"PMP22"
"SGK1"	0	0.542306296509285	0.345	0.148	0	"basal"	"SGK1"
"CHIC2"	0	0.541432789820014	0.446	0.281	0	"basal"	"CHIC2"
"RND3"	0	0.53691205634158	0.468	0.378	0	"basal"	"RND3"
"IFI16"	0	0.534858459008309	0.381	0.142	0	"basal"	"IFI16"
"GRAMD2B"	0	0.533746998950832	0.359	0.196	0	"basal"	"GRAMD2B"
"SERBP1"	0	0.53342791415477	0.853	0.805	0	"basal"	"SERBP1"
"MEG3"	0	0.533171625067747	0.212	0.019	0	"basal"	"MEG3"
"PDCD5"	0	0.532206075114934	0.714	0.652	0	"basal"	"PDCD5"
"PSMA7"	0	0.530972117049919	0.854	0.838	0	"basal"	"PSMA7"
"GPATCH4"	0	0.529318651193049	0.44	0.227	0	"basal"	"GPATCH4"
"SNRPF"	0	0.528553032693556	0.722	0.667	0	"basal"	"SNRPF"
"GLIPR1"	0	0.526296449898288	0.438	0.211	0	"basal"	"GLIPR1"
"ATP1B3"	0	0.524269751518274	0.638	0.486	0	"basal"	"ATP1B3"
"PPP1R15A"	0	0.522962496183169	0.716	0.671	0	"basal"	"PPP1R15A"
"GCLM"	0	0.522689691059683	0.483	0.324	0	"basal"	"GCLM"
"ID1"	0	0.521591139909998	0.23	0.117	0	"basal"	"ID1"
"PFDN2"	0	0.521312536747964	0.767	0.673	0	"basal"	"PFDN2"
"SNRPD1"	0	0.521149055593233	0.714	0.654	0	"basal"	"SNRPD1"
"RANBP1"	0	0.520754348021087	0.671	0.598	0	"basal"	"RANBP1"
"AMIGO2"	0	0.519390715460662	0.246	0.035	0	"basal"	"AMIGO2"
"ARPC2"	0	0.51575066386152	0.824	0.788	0	"basal"	"ARPC2"
"SNAI2"	0	0.508965547859691	0.262	0.013	0	"basal"	"SNAI2"
"TRIM29"	0	0.508090388990241	0.338	0.069	0	"basal"	"TRIM29"
"HSP90B1"	0	0.505067263722953	0.765	0.721	0	"basal"	"HSP90B1"
"SPHK1"	0	0.504545716033948	0.345	0.156	0	"basal"	"SPHK1"
"LGALS1"	0	0.497566172227337	0.788	0.55	0	"basal"	"LGALS1"
"MFSD2A"	0	0.496509934904089	0.251	0.056	0	"basal"	"MFSD2A"
"SRSF3"	0	0.496327776275055	0.857	0.818	0	"basal"	"SRSF3"
"HSP90AB1"	0	0.495053698513317	0.972	0.951	0	"basal"	"HSP90AB1"
"TNS4"	0	0.492816669944097	0.277	0.028	0	"basal"	"TNS4"
"PIK3R1"	0	0.49043600683188	0.398	0.186	0	"basal"	"PIK3R1"
"INPP1"	0	0.485746185901056	0.308	0.105	0	"basal"	"INPP1"
"GPC1"	0	0.484865018110892	0.214	0.05	0	"basal"	"GPC1"
"NEXN"	0	0.480089815135955	0.181	0.007	0	"basal"	"NEXN"
"SLC1A5"	0	0.479834754188872	0.474	0.316	0	"basal"	"SLC1A5"
"PSMD11"	0	0.474767098481396	0.594	0.467	0	"basal"	"PSMD11"
"CARMN"	0	0.471409246368365	0.166	0.003	0	"basal"	"CARMN"
"MPZL1"	0	0.470150605135263	0.6	0.501	0	"basal"	"MPZL1"
"NHP2"	0	0.469232073992246	0.736	0.705	0	"basal"	"NHP2"
"LUZP1"	0	0.46741244779642	0.327	0.172	0	"basal"	"LUZP1"
"TINAGL1"	0	0.466551955134565	0.467	0.333	0	"basal"	"TINAGL1"
"NOP16"	0	0.461173467152925	0.417	0.255	0	"basal"	"NOP16"
"SLC3A2"	0	0.46092564558902	0.74	0.682	0	"basal"	"SLC3A2"
"BLCAP"	0	0.460417347265491	0.374	0.196	0	"basal"	"BLCAP"
"PFN1"	0	0.458655565639941	0.927	0.929	0	"basal"	"PFN1"
"SRGAP1"	0	0.456570490759864	0.342	0.179	0	"basal"	"SRGAP1"
"FTL"	0	0.454737077218932	0.966	0.985	0	"basal"	"FTL"
"NFE2L2"	0	0.453439476659959	0.637	0.557	0	"basal"	"NFE2L2"
"NAP1L1"	0	0.453394021245173	0.857	0.819	0	"basal"	"NAP1L1"
"RBM8A"	0	0.450678237661089	0.774	0.72	0	"basal"	"RBM8A"
"C2orf40"	0	0.450552647576251	0.188	0.008	0	"basal"	"C2orf40"
"CSRP1"	0	0.450350480832787	0.628	0.541	0	"basal"	"CSRP1"
"ARPC5"	0	0.447641439487157	0.633	0.585	0	"basal"	"ARPC5"
"ATF4"	0	0.447491094998011	0.901	0.827	0	"basal"	"ATF4"
"PSAT1"	0	0.446386497712051	0.271	0.084	0	"basal"	"PSAT1"
"STRAP"	0	0.446242970214772	0.676	0.609	0	"basal"	"STRAP"
"CALU"	0	0.442418951113627	0.463	0.336	0	"basal"	"CALU"
"NPM1"	0	0.442357363195541	0.972	0.952	0	"basal"	"NPM1"
"PDGFA"	0	0.439752675023464	0.246	0.051	0	"basal"	"PDGFA"
"LSM7"	0	0.43930728484568	0.683	0.659	0	"basal"	"LSM7"
"PSMD2"	0	0.439056663766449	0.555	0.451	0	"basal"	"PSMD2"
"MRTO4"	0	0.438940986533889	0.399	0.224	0	"basal"	"MRTO4"
"FOSL1"	0	0.43807016659981	0.352	0.21	0	"basal"	"FOSL1"
"RAD23A"	0	0.436958225987184	0.735	0.708	0	"basal"	"RAD23A"
"PGF"	0	0.436418233868374	0.201	0.067	0	"basal"	"PGF"
"FGFR1"	0	0.435315345265686	0.354	0.22	0	"basal"	"FGFR1"
"SERPINH1"	0	0.434906313633249	0.307	0.115	0	"basal"	"SERPINH1"
"PTGES3"	0	0.434291962249961	0.852	0.83	0	"basal"	"PTGES3"
"SHMT2"	0	0.433685280668703	0.464	0.328	0	"basal"	"SHMT2"
"SNRPB"	0	0.433426139272871	0.827	0.796	0	"basal"	"SNRPB"
"SLC25A4"	0	0.431881139794484	0.416	0.301	0	"basal"	"SLC25A4"
"POLD2"	0	0.431834840585906	0.486	0.382	0	"basal"	"POLD2"
"SEC61G"	0	0.426078344494928	0.829	0.854	0	"basal"	"SEC61G"
"OXTR"	0	0.424784045859751	0.157	0.009	0	"basal"	"OXTR"
"LAMC2"	0	0.424739735105691	0.274	0.151	0	"basal"	"LAMC2"
"TIMM13"	0	0.422227738923555	0.702	0.69	0	"basal"	"TIMM13"
"PA2G4"	0	0.421251259401845	0.692	0.651	0	"basal"	"PA2G4"
"RAB34"	0	0.419751611518605	0.451	0.296	0	"basal"	"RAB34"
"ARL13B"	0	0.419012032770503	0.214	0.08	0	"basal"	"ARL13B"
"CDK4"	0	0.418442993670724	0.476	0.35	0	"basal"	"CDK4"
"PPFIBP1"	0	0.418049997091737	0.275	0.129	0	"basal"	"PPFIBP1"
"A2M"	0	0.417037635317807	0.204	0.025	0	"basal"	"A2M"
"CNBP"	0	0.413516524317607	0.856	0.835	0	"basal"	"CNBP"
"CYCS"	0	0.413477825681323	0.803	0.773	0	"basal"	"CYCS"
"PSMB3"	0	0.412169935010299	0.751	0.745	0	"basal"	"PSMB3"
"IMP4"	0	0.410488257371937	0.493	0.382	0	"basal"	"IMP4"
"MRGPRX3"	0	0.4087192361671	0.216	0.011	0	"basal"	"MRGPRX3"
"HNRNPA2B1"	0	0.408374127588073	0.889	0.873	0	"basal"	"HNRNPA2B1"
"CMSS1"	0	0.407919560644082	0.436	0.298	0	"basal"	"CMSS1"
"HSPA9"	0	0.407198770707178	0.578	0.517	0	"basal"	"HSPA9"
"TMED9"	0	0.405785952040224	0.713	0.687	0	"basal"	"TMED9"
"SLC25A39"	0	0.403722147060845	0.569	0.533	0	"basal"	"SLC25A39"
"DNAJB6"	0	0.403003424531618	0.804	0.777	0	"basal"	"DNAJB6"
"DNAJB11"	0	0.401575142393505	0.42	0.328	0	"basal"	"DNAJB11"
"APRT"	0	0.401554604752749	0.747	0.76	0	"basal"	"APRT"
"MGARP"	0	0.401073743705135	0.147	0.003	0	"basal"	"MGARP"
"NOB1"	0	0.400636612871301	0.48	0.362	0	"basal"	"NOB1"
"LYAR"	0	0.399985433679223	0.33	0.165	0	"basal"	"LYAR"
"ETS2"	0	0.398833899773759	0.393	0.248	0	"basal"	"ETS2"
"PSMD3"	0	0.398543234548456	0.489	0.382	0	"basal"	"PSMD3"
"SVIL"	0	0.397688912515128	0.483	0.346	0	"basal"	"SVIL"
"ENO1"	0	0.397346066153544	0.922	0.876	0	"basal"	"ENO1"
"TPI1"	0	0.397218413853275	0.899	0.891	0	"basal"	"TPI1"
"CCT2"	0	0.396963533060424	0.573	0.528	0	"basal"	"CCT2"
"EIF4A1"	0	0.396584355624654	0.787	0.773	0	"basal"	"EIF4A1"
"PSMB1"	0	0.396487021081117	0.793	0.805	0	"basal"	"PSMB1"
"FGFR1OP2"	0	0.395261440171397	0.392	0.28	0	"basal"	"FGFR1OP2"
"MGAT1"	0	0.394754119641618	0.393	0.24	0	"basal"	"MGAT1"
"ADRM1"	0	0.394193303438971	0.623	0.558	0	"basal"	"ADRM1"
"DKC1"	0	0.393856762256134	0.397	0.268	0	"basal"	"DKC1"
"C9orf3"	0	0.393032798732521	0.267	0.088	0	"basal"	"C9orf3"
"PPP1R12A"	0	0.392422239098425	0.374	0.267	0	"basal"	"PPP1R12A"
"CDC42EP3"	0	0.390741324978613	0.288	0.151	0	"basal"	"CDC42EP3"
"IGFBP4"	0	0.389992402849749	0.32	0.167	0	"basal"	"IGFBP4"
"CCT5"	0	0.389721706432124	0.575	0.519	0	"basal"	"CCT5"
"DMKN"	0	0.388486354311544	0.479	0.383	0	"basal"	"DMKN"
"NDUFA11"	0	0.386686529691398	0.735	0.747	0	"basal"	"NDUFA11"
"CCT7"	0	0.38578505456265	0.595	0.554	0	"basal"	"CCT7"
